***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:00:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:00:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:00:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:01:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:01:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:02:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:02:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:02:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:03:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:03:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:04:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:04:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:05:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:05:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:05:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:06:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:06:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:07:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:07:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:07:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:08:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:08:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:09:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:09:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:10:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:10:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:10:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:11:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:11:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:12:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:12:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:12:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:13:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:13:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:14:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:14:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:45:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:45:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:45:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:46:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:46:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:47:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:47:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:47:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:48:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:48:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:49:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:49:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:50:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:50:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:50:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:51:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:51:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:52:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:52:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:52:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:53:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:53:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:54:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:54:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:55:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:55:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;11:55:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;11:56:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;11:56:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;11:57:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;11:57:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;11:57:55;;;;;;
