***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;15:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;15:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;15:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;15:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;15:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;15:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;16:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;16:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;16:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;16:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;16:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;16:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;16:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;16:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;16:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;16:17:00;;;;;;
